Date,Time,l1l,l1h,l2l,l2h,l3l,l3h,Total Time
31-May-2021,06:37:11 PM,1,3,3,6,6,8,0
01-Jun-2021,01:12:23 AM,1,4,4,6,6,8,0
02-Jun-2021,04:03:58 PM,0,3,3,6,6,9,0
03-Jun-2021,10:56:16 AM,0,1,1,2,2,3,0
06-Jun-2021,05:49:36 PM,0,2,2,4,4,6,1120
07-Jun-2021,11:17:03 AM,0,3,3,6,6,9,17920
08-Jun-2021,12:44:51 AM,0,2,2,4,4,6,10699
09-Jun-2021,12:31:38 AM,0,2,2,4,4,6,19624
10-Jun-2021,12:18:18 AM,0,3,3,6,6,9,25285
11-Jun-2021,11:57:50 AM,0,2,2,4,4,6,12114
12-Jun-2021,12:47:42 AM,0,2,2,4,4,6,21740
13-Jun-2021,01:13:59 PM,0,3,3,6,6,9,8786
14-Jun-2021,12:00:22 AM,0,2,2,4,4,6,0
15-Jun-2021,09:35:21 PM,0,3,3,6,6,9,21600
16-Jun-2021,03:31:19 PM,0,3,3,6,6,9,23857
17-Jun-2021,12:00:05 AM,0,2,2,4,4,6,13001
18-Jun-2021,04:00:02 PM,0,2,2,4,4,6,0
19-Jun-2021,12:00:06 AM,0,2,2,4,4,6,13106
20-Jun-2021,10:45:06 AM,0,2,2,4,4,6,10245
21-Jun-2021,12:00:10 AM,0,2,2,4,4,6,8179
22-Jun-2021,08:32:21 AM,0,2,2,4,4,6,15504
23-Jun-2021,12:00:19 AM,0,2,2,4,4,6,12623
24-Jun-2021,10:48:56 AM,0,2,2,4,4,6,14083
25-Jun-2021,12:00:17 AM,0,2,2,4,4,6,15210
26-Jun-2021,12:00:21 AM,0,2,2,4,4,6,16588
27-Jun-2021,12:00:06 AM,0,2,2,4,4,6,20697
28-Jun-2021,01:07:18 AM,0,2,2,4,4,6,18640
29-Jun-2021,09:34:06 AM,0,2,2,4,4,6,20689
30-Jun-2021,12:00:17 AM,0,2,2,4,4,6,17663
01-Jul-2021,10:06:43 PM,0,3,3,6,6,9,24459
02-Jul-2021,12:00:13 AM,0,2,2,4,4,6,15458
03-Jul-2021,08:18:56 AM,0,2,2,4,4,6,13232
04-Jul-2021,06:08:03 PM,0,3,3,6,6,9,29890
05-Jul-2021,12:00:08 AM,0,2,2,4,4,6,19891
06-Jul-2021,09:31:20 AM,0,2,2,4,4,6,0
